# Kynda AMAZON — CANONICAL ordering list (exact Amazon listing titles + ASINs)
# Auto-merged from live Amazon 'Kynda Food List' + 'Kynda Packaging + Supplies List'
# Format: name | par | vendor | category | asin
Sugar In The Raw Packets 50400 (1200 Packets per Case)|2.0|Amazon|food|B000CDN1JM
Sweetmo Sugar Packets 2000 Count – Pure Cane White Granulated Sugar Packets, Individual Wrapped, Bulk Packets for Coffee, Restaurants, Office, Cafés & Food Service||Amazon|food|B0H2WPR765
Lipton Black Tea Bags, 600 Count (100 Count 6-Pack), Premium Black Tea  -  600 Lipton black tea bags with a blend of orange pekoe, pekoe cut black tea leaves picked at the peak of freshness||Amazon|food|B0DX6BCG3B
J MAC BOTANICALS, Organic Lavender Buds (16 oz, 1 Pound Bag) Bulk, Dried Flowers, Flower||Amazon|food|B0BNJVF911
Rani Cardamom (Elachi) Ground, Powder Indian Spice 16oz (1lb) 454g PET Jar ~ All Natural  -  No Color Added  -  Gluten Friendly  -  Vegan  -  NON-GMO  -  Kosher  -  No Salt or Fillers||Amazon|food|B0DR2WTPYW
Fresh Finest Bulk 5LB Ground Cinnamon Powder - Kosher Certified Cinnamon Powder, Perfect for Desserts, Hot Tea, Cider, Meat Rubs, and More - 5 LB||Amazon|food|B0CWB1ZKJ9
Amazon Grocery, Ground Nutmeg, 3.25 Oz|2.0|Amazon|food|B07W1WV5FD
Amazon Grocery, Hazelnut Spread With Cocoa, 26.5 Oz||Amazon|food|B09PN9S9D4
McCormick Italian Seasoning, Blend of Marjoram, Thyme, Rosemary, Sage, Savory, Oregano, and Basil, For Creating Memorable Flavor While Cooking or Dining, For Pizza, Salad, Veggies & More, 6.25 oz||Amazon|food|B001PQREOI
BetterBody Foods Organic Superfood Powder with Protein 12.7 Oz, Vitamins  -  Superfruit Blend, Smoothie Mix, Kid Friendly, Picky Eaters, Acai, 6g of Pea Protein, Omega 3, Chia Seeds, Turmeric, Oatmeal||Amazon|food|B0178D17WG
