# Kynda HEB — CANONICAL Agent Ordering List (exact HEB names)
# Auto-refreshed from the live Kynda Master Shopping List 2.
# Format: HEB exact name | par | vendor | category
Canyon Bakehouse Gluten Free Country White Sliced Bread, 15 oz|2|HEB|bread
H-E-B Bakery Scratch Sourdough Bread, 22 oz|15|HEB|bread
Thomas' Everything Bagels, 6 ct|4|HEB|bread
Thomas' Plain Bagels, 6 ct|4|HEB|bread
H-E-B 1877 Mineral Water 12 pk Bottles, 12 oz|2|HEB|beverage
Waterloo Blackberry Lemonade Sparkling Water 12 pk Cans, 12 oz|2|HEB|beverage
Waterloo Black Cherry Sparkling Water 12 pk Cans, 12 oz|2|HEB|beverage
Waterloo Lemon Lime Sparkling Water 12 pk Cans, 12 oz|3|HEB|beverage
Higher Harvest by H-E-B Non-Dairy Original Coconut Milk, 1/2 gal|8|HEB|dairy
Higher Harvest by H-E-B Non-Dairy Original Oat Milk, 1/2 gal|6|HEB|dairy
Hill Country Fare Fat Free Milk, 1 gal|3|HEB|dairy
Hill Country Fare Grade A Large White Eggs, 3 Dozen, 36 ct|3|HEB|dairy
Hill Country Fare Liquid Egg Whites, 32 oz|10|HEB|dairy
Hill Country Fare Low Moisture Part-Skim Mozzarella Sliced Cheese, 10 ct|10|HEB|cheese
Hill Country Fare Mild Cheddar Shredded Cheese, 32 oz|3|HEB|cheese
Hill Country Fare Mild Cheddar Sliced Cheese, 10 ct|12|HEB|cheese
Hill Country Fare Sharp Cheddar Shredded Cheese, 12 oz|2|HEB|cheese
Hill Country Fare Whole Milk, 1 gal|20|HEB|dairy
H-E-B Half & Half, 32 oz|6|HEB|dairy
H-E-B Half & Half, 64 oz|6|HEB|dairy
H-E-B Heavy Whipping Cream, 32 oz|12|HEB|dairy
H-E-B Regular Cream Cheese, 8 oz|6|HEB|dairy
Hill Country Fare Original Pepperoni Slices - Texas-Size Pack, 21 oz|2|HEB|meat
H-E-B Oven-Roasted Turkey Breast Lunch Meat - Mega Pack, 22 oz|4|HEB|meat
H-E-B Creamy Creations 1905 Vanilla Ice Cream, 1/2 gal|4|HEB|frozen
H-E-B Frozen Blueberries, 5 lbs|3|HEB|frozen
H-E-B Frozen Mango Chunks, 16 oz|8|HEB|frozen
H-E-B Frozen Whole Strawberries - Texas-Size Pack, 5 lbs|3|HEB|frozen
H-E-B Whipped Dairy Topping – Original, 13 oz|6|HEB|dairy
Fresh Bunch of Bananas, 4-7 Bananas, Avg. 2.4 lbs|6|HEB|produce
Fresh Roma Tomato, Avg. 0.29 lb|5|HEB|produce
H-E-B Fresh Granny Smith Apples, 3 lb bag|3|HEB|produce
H-E-B Fresh Lemons, 2 lb bag|5|HEB|produce
H-E-B Fresh Spinach, 9 oz|5|HEB|produce
H-E-B Texas Heritage Pork & Beef Smoked Sausage - Original, 12 oz|7|HEB|meat
H-E-B Texas Heritage Smoked Turkey Sausage - Original, 12 oz|5|HEB|meat
Fleischmann's Active Dry Yeast, 4 oz|4|HEB|pantry
Hill Country Fare Canola Oil No-Stick Cooking Spray - Texas-Size Pack, 17 oz|3|HEB|pantry
Hill Country Fare Double Acting Baking Powder, 8.1 oz|4|HEB|pantry
Hill Country Fare Pure Baking Soda, 64 oz|2|HEB|pantry
Hill Country Fare Strawberry Jam, 32 oz|6|HEB|pantry
H-E-B Basil Pesto, 6.7 oz|8|HEB|pantry
H-E-B Brown Sugar, 2 lbs|5|HEB|pantry
H-E-B Creamy Tomato Basil Soup, 31.4 oz|9|HEB|pantry
H-E-B Iodized Salt, 26 oz|2|HEB|pantry
H-E-B Marinara Pasta Sauce, 24 oz|9|HEB|pantry
H-E-B More Fruit Peach & Mango Fruit Spread, 15.5 oz|10|HEB|pantry
H-E-B Organics Marinara Pasta Sauce, 24 oz|9|HEB|pantry
H-E-B Organics Tomato Basil Soup, 17 oz|10|HEB|pantry
H-E-B Organics 100% Unsweetened Cocoa Powder, 8 oz|8|HEB|pantry
H-E-B Real Mayonnaise, 30 oz|4|HEB|pantry
H-E-B Salt, 26 oz|2|HEB|pantry
H-E-B The Baker's Scoop Unsweetened Cocoa, 8 oz|8|HEB|pantry
La Costena Pickled Jalapeno Nacho Slices, 15.5 oz|3|HEB|pantry
Libby's 100% Pure All-Natural Canned Pumpkin, 15 oz|6|HEB|pantry
