# Kynda — SINGLE MASTER ORDERING LIST (all vendors)
# One file drives HEB orders, Amazon orders, and the staff count sheet.
# Format: name | par | vendor | category | cadence | asin
Amazon Grocery, Ground Nutmeg, 3.25 Oz|2.0|Amazon|food|monthly|B07W1WV5FD
Amazon Grocery, Hazelnut Spread With Cocoa, 26.5 Oz||Amazon|food|monthly|B09PN9S9D4
BetterBody Foods Organic Superfood Powder with Protein 12.7 Oz, Vitamins  -  Superfruit Blend, Smoothie Mix, Kid Friendly, Picky Eaters, Acai, 6g of Pea Protein, Omega 3, Chia Seeds, Turmeric, Oatmeal||Amazon|food|monthly|B0178D17WG
Business Credit Account||Amazon|food|monthly|B07GZY6QJK
Califia Farms - Unsweetened Almond Barista Blend Almond Milk, 32 Oz (Pack Of 6), Shelf Stable, Dairy Free, Plant Based, Vegan, Gluten Free, Non GMO, Sugar Free, Milk Frother, Creamer||Amazon|food|monthly|B07F39QPWS
Cholula Original Hot Sauce Packets, 200 count - One 200 Count Individual Hot Sauce Packets with Mexican Peppers and Signature Spice Blend, Perfect Single-Serve Size for Delivery and Takeout||Amazon|food|monthly|B01DQ7F42C
DaVinci Gourmet Classic Blueberry Syrup, 25.4 Fluid Ounces (Pack of 4)||Amazon|food|monthly|B089Z2DB5T
DaVinci Gourmet Classic Caramel Syrup, Kosher, 25.4 Fluid Ounces (Pack of 4)|3.0|Amazon|food|monthly|B075CMDP8M
DaVinci Gourmet Classic Irish Cream Syrup, 25.4 Fluid Ounces (Pack of 4)||Amazon|food|monthly|B07GB9MX2F
DaVinci Gourmet Classic Original Hazelnut Syrup, 25.4 Fluid Ounces (Pack of 4)|3.0|Amazon|food|monthly|B075CD29WX
DaVinci Gourmet Classic Raspberry Syrup, Keto-friendly, 25.4 Fluid Ounces (Pack of 4)||Amazon|food|monthly|B075CD8GZP
DaVinci Gourmet Classic Strawberry Syrup, Keto-friendly, 25.4 Fluid Ounces (Pack of 4)||Amazon|food|monthly|B075CMCNDW
DaVinci Gourmet Lavender Syrup, Natural, 25.4 Fluid Ounces (Pack of 1)||Amazon|food|monthly|B09DZ1FH8B
Fresh Finest Bulk 5LB Ground Cinnamon Powder - Kosher Certified Cinnamon Powder, Perfect for Desserts, Hot Tea, Cider, Meat Rubs, and More - 5 LB||Amazon|food|monthly|B0CWB1ZKJ9
Ghirardelli Chocolate Flavored Sauce, Creamy Caramel, 90.4-Ounce||Amazon|food|monthly|B000H69AI0
Ghirardelli Chocolate White Chocolate Flavored Sauce, 5 Pounds 7.3 Oz (2.47 Kg) Package||Amazon|food|monthly|B005JWMMF0
J MAC BOTANICALS, Organic Lavender Buds (16 oz, 1 Pound Bag) Bulk, Dried Flowers, Flower||Amazon|food|monthly|B0BNJVF911
Kraft Philadelphia Original Cream Cheese Spread - Cup, 3/4 Ounce - 100 per case.||Amazon|food|monthly|B00B048H50
Lipton Black Tea Bags, 600 Count (100 Count 6-Pack), Premium Black Tea  -  600 Lipton black tea bags with a blend of orange pekoe, pekoe cut black tea leaves picked at the peak of freshness||Amazon|food|monthly|B0DX6BCG3B
McCormick Culinary Pure Peppermint Extract, 16 fl oz - One 16 Fluid Ounce Bottle of Peppermint Extract, Made from Real Peppermint Leaves to Add Flavor to Milkshakes, Coffees, Cocktails and More||Amazon|food|monthly|B008OGD21G
McCormick Italian Seasoning, Blend of Marjoram, Thyme, Rosemary, Sage, Savory, Oregano, and Basil, For Creating Memorable Flavor While Cooking or Dining, For Pizza, Salad, Veggies & More, 6.25 oz||Amazon|food|monthly|B001PQREOI
Milk-Bone Flavor Snacks Mini’s Dog Biscuits, Flavored Crunchy Dog Treats, 36 Oz. Canister  -  5 calories per treat, 15% protein, 3 flavors per canister (beef, chicken & bacon, naturally & artificially flavored)||Amazon|food|monthly|B0114BNXQ6
Pacific Barista Series Original Coconut Non Dairy Beverage, 32 Fluid Ounce -- 12 per case.||Amazon|food|monthly|B01HUNIFGU
Rani Cardamom (Elachi) Ground, Powder Indian Spice 16oz (1lb) 454g PET Jar ~ All Natural  -  No Color Added  -  Gluten Friendly  -  Vegan  -  NON-GMO  -  Kosher  -  No Salt or Fillers||Amazon|food|monthly|B0DR2WTPYW
Spice Classics Ground Nutmeg, 16 oz - One 16 Ounce Container of Ground Nutmeg Powder, Perfect in Coffees, Cocktails, Soups and More||Amazon|food|monthly|B07DR2JZPV
Sugar In The Raw Packets 50400 (1200 Packets per Case)|2.0|Amazon|food|monthly|B000CDN1JM
Sweetmo Sugar Packets 2000 Count – Pure Cane White Granulated Sugar Packets, Individual Wrapped, Bulk Packets for Coffee, Restaurants, Office, Cafés & Food Service||Amazon|food|monthly|B0H2WPR765
Taylors Of Harrogate, Tea China Green, 50 Count  -  50 Count|2.0|Amazon|food|monthly|B000MN69CS
Torani Sugar Free Vanilla Flavored Drink Syrup, 25.4 fl oz, 4 Pack|3.0|Amazon|food|monthly|B00CWTZ8UY
Amazon Basics Gentle & Mild Clear Liquid Hand Soap Refill, Triclosan-Free, Dermatologist-Tested, pH Balanced, 50 Fl Oz, 2-Pack (Previously Solimo)|2.0|Amazon|packaging|monthly|B09HHDGQKD
Avery® Printable Return Address Labels, Sure Feed® Technology, 2/3" x 1-3/4", Matte Clear, 600 Blank Mailing Labels (18695)|2.0|Amazon|packaging|monthly|B001HAZU16
Bagcraft Ecocraft Grease-Resistant Sandwich Bags, 6.5" X 8", Natural, 2,000/carton|2.0|Amazon|packaging|monthly|B0087RU31Y
BUNN Commercial Tea & Paper Coffee Filters, 20138.1000 White, 1.5 Gallon, 500 count|2.0|Amazon|packaging|monthly|B00NWTE8YA
Cafiza Espresso Machine Detergent (1 x 10 lb Pail)|0.5|Amazon|packaging|monthly|B01F78KWJI
Clean Building All-Purpose Cleaner Concentrate, 1 gal Bottle, 2/Carton||Amazon|packaging|monthly|B07NHRKSP3
FMP Brands [1000 Pack] Kraft Coffee Cup Sleeves Disposable for Hot Drinks, Durable Corrugated Cardboard Cup Sleeves for 12-24 oz Cups, Beverage Insulator and Hand Protection for Hot & Cold Drinks|3.0|Amazon|packaging|monthly|B08GJ3LQVM
General Supply 9JUMBO Jumbo Roll Bath Tissue, 2-Ply, 9", White (Case of 12)  -  Made In The USA; Durable Two-Ply Construction Designed to Provide Enhanced Comfort, Strength||Amazon|packaging|monthly|B01B7FJX4A
Genuine Joe - GJO2506008 Jumbo Dispenser Roll Bath Tissue (Pack of 8)||Amazon|packaging|monthly|B0096XTUO4
Hydrion QT-40 Quaternary SANITIZER Solution Test Tape for Testing 0-500 ppm Ranges - QUAT Tape & Color Chart - Tests Quaternary Ammonium Sanitizer Solutions in Restaurants, Bars, Daycare - 15 Ft Roll||Amazon|packaging|monthly|B008BMCLNI
iMARK Premium Refill Ink for Self-Inking Stamps, Daters and Stamp Pads (4 oz, Black)|1.0|Amazon|packaging|monthly|B0B81GKXZQ
Karat 10-24 oz. Coffee Cup Sipper Dome Lid - Black (90mm) - 1,000 ct|2.0|Amazon|packaging|monthly|B07CB2B4K8
Karat 12 oz Paper Coffee Cup [1,000 ct] White Disposable Cup for Hot/ Cold Drinks and Beverages  -  3.54" Diameter (C-K512W)|2.0|Amazon|packaging|monthly|B00O9SPO4G
Karat [1,000 ct] 12oz Plastic Cups, Clear Disposable Cold Cups for Iced Coffee, Smoothies, Cocktail, and Water, 98mm|2.0|Amazon|packaging|monthly|B00SGFNF5S
Karat C-KC626TS-SHNE 98mm PET Strawless Sipper Lid for 12-24oz PET Cup, sipper lids, strawless lids 1,000 Count|3.0|Amazon|packaging|monthly|B0CP1RW1DY
Karat Commercial Paper Towel Rolls, Absorbent & Sturdy for High Traffic Areas, Kraft (Pack of 6)|3.0|Amazon|packaging|monthly|B00SGFRWJ8
Lysol Toilet Bowl Cleaner Clinging Gel, Power, 24 oz, 2 Pack  -  Disinfecting, Sanitizing, Deodorizing, Septic Safe, Bleach Free, For Toilet Rings, Limescale, & Hard Water, Bathroom Cleaner||Amazon|packaging|monthly|B00371VM0Q
Positive Art Liquid Chalk Markers - 30 Colors, 6mm Reversible Tips - Washable Colored Chalk Pens for Art & Decor - Window Markers for Glass & Metal, Bold Color Dry Erase Marker Pens for Mirros & More||Amazon|packaging|monthly|B076PMTZ47
Reli. 40 to 45 Gallon Trash Bags Heavy Duty  -  250 Trash Bags, Twist Ties  -  Black, Serious Garbage Cleanup  -  Large Garbage Bags with Twist Ties, Made in USA  -  SuperValue||Amazon|packaging|monthly|B07H8QG78V
REMTAP Coffee Bags with Valve(100pcs,12 oz) balck High Barrier Aluminumed Foil Flat Bottom Standing Coffee Beans Storage Bags,Reusable Heat Sealable Side Zipper Pouches for Home or Store||Amazon|packaging|monthly|B097XV6PTG
Restaurantware Coffee Cup Lids 500 Pack Fits 4 oz Coffee Cups Durable Spill-Proof Lid Secure Fit Design Disposable Round Black Plastic Covers for Hot Beverages, Cafes and Office||Amazon|packaging|monthly|B01CZD8WPO
Solo Foodservice 316W 16 Oz. White Paper Hot Cup noHandle Singlepoly (1000-Pack)||Amazon|packaging|monthly|B0040ZOUQG
StixToGo Beverage Plugs - Leak Prevention Coffee Accessory for Hot Drinks, Disposable Coffee Stoppers, Fits Standard Lids - Black, 2", Pack of 400||Amazon|packaging|monthly|B00IVNCJMU
Volcanics White Liquid Chalk Markers, Blackboard & Glass, 12 Pack  -  Washable Chalk Pens for Windows, Mirrors, Wet Erase Window Markers, Easy Clean Ink for Menu Boards, Café Signs, Classroom||Amazon|packaging|monthly|B08R55YFM9
Volcanics White Window Markers for Glass Washable Window Crayons Window Paint Markers Chalk Markers for Glass Window Chalk Markers for Glass Glass Markers Pens, 12 Pack||Amazon|packaging|monthly|B0C6XJT6P4
H-E-B 1877 Mineral Water 12 pk Bottles, 12 oz|2|HEB|beverage|weekly|
Waterloo Black Cherry Sparkling Water 12 pk Cans, 12 oz|2|HEB|beverage|weekly|
Waterloo Blackberry Lemonade Sparkling Water 12 pk Cans, 12 oz|2|HEB|beverage|weekly|
Waterloo Lemon Lime Sparkling Water 12 pk Cans, 12 oz|3|HEB|beverage|weekly|
Canyon Bakehouse Gluten Free Country White Sliced Bread, 15 oz|2|HEB|bread|weekly|
H-E-B Bakery Scratch Sourdough Bread, 22 oz|15|HEB|bread|weekly|
Thomas' Everything Bagels, 6 ct|4|HEB|bread|weekly|
Thomas' Plain Bagels, 6 ct|4|HEB|bread|weekly|
Hill Country Fare Low Moisture Part-Skim Mozzarella Sliced Cheese, 10 ct|10|HEB|cheese|weekly|
Hill Country Fare Mild Cheddar Shredded Cheese, 32 oz|3|HEB|cheese|weekly|
Hill Country Fare Mild Cheddar Sliced Cheese, 10 ct|12|HEB|cheese|weekly|
Hill Country Fare Sharp Cheddar Shredded Cheese, 12 oz|2|HEB|cheese|weekly|
H-E-B Half & Half, 32 oz|6|HEB|dairy|weekly|
H-E-B Heavy Whipping Cream, 32 oz|12|HEB|dairy|weekly|
H-E-B Regular Cream Cheese, 8 oz|6|HEB|dairy|weekly|
H-E-B Whipped Dairy Topping – Original, 13 oz|6|HEB|dairy|weekly|
Higher Harvest by H-E-B Non-Dairy Original Coconut Milk, 1/2 gal|8|HEB|dairy|weekly|
Higher Harvest by H-E-B Non-Dairy Original Oat Milk, 1/2 gal|6|HEB|dairy|weekly|
Hill Country Fare Fat Free Milk, 1 gal|3|HEB|dairy|weekly|
Hill Country Fare Grade A Large White Eggs, 3 Dozen, 36 ct|3|HEB|dairy|weekly|
Hill Country Fare Liquid Egg Whites, 32 oz|10|HEB|dairy|weekly|
Hill Country Fare Whole Milk, 1 gal|20|HEB|dairy|weekly|
H-E-B Creamy Creations 1905 Vanilla Ice Cream, 1/2 gal|4|HEB|frozen|weekly|
H-E-B Frozen Blueberries, 5 lbs|3|HEB|frozen|weekly|
H-E-B Frozen Mango Chunks, 16 oz|8|HEB|frozen|weekly|
H-E-B Frozen Whole Strawberries - Texas-Size Pack, 5 lbs|3|HEB|frozen|weekly|
H-E-B Oven-Roasted Turkey Breast Lunch Meat - Mega Pack, 22 oz|4|HEB|meat|weekly|
H-E-B Texas Heritage Pork & Beef Smoked Sausage - Original, 12 oz|7|HEB|meat|weekly|
H-E-B Texas Heritage Smoked Turkey Sausage - Original, 12 oz|5|HEB|meat|weekly|
Hill Country Fare Original Pepperoni Slices - Texas-Size Pack, 21 oz|2|HEB|meat|weekly|
Fleischmann's Active Dry Yeast, 4 oz|4|HEB|pantry|weekly|
H-E-B Basil Pesto, 6.7 oz|8|HEB|pantry|weekly|
H-E-B Brown Sugar, 2 lbs|5|HEB|pantry|weekly|
H-E-B Creamy Tomato Basil Soup, 31.4 oz|9|HEB|pantry|weekly|
H-E-B Iodized Salt, 26 oz|2|HEB|pantry|weekly|
H-E-B Marinara Pasta Sauce, 24 oz|9|HEB|pantry|weekly|
H-E-B More Fruit Peach & Mango Fruit Spread, 15.5 oz|10|HEB|pantry|weekly|
H-E-B Organics 100% Unsweetened Cocoa Powder, 8 oz|8|HEB|pantry|weekly|
H-E-B Organics Marinara Pasta Sauce, 24 oz|9|HEB|pantry|weekly|
H-E-B Organics Tomato Basil Soup, 17 oz|10|HEB|pantry|weekly|
H-E-B Real Mayonnaise, 30 oz|4|HEB|pantry|weekly|
H-E-B Salt, 26 oz|2|HEB|pantry|weekly|
H-E-B The Baker's Scoop Unsweetened Cocoa, 8 oz|8|HEB|pantry|weekly|
Hill Country Fare Canola Oil No-Stick Cooking Spray - Texas-Size Pack, 17 oz|3|HEB|pantry|weekly|
Hill Country Fare Double Acting Baking Powder, 8.1 oz|4|HEB|pantry|weekly|
Hill Country Fare Pure Baking Soda, 64 oz|2|HEB|pantry|weekly|
Hill Country Fare Strawberry Jam, 32 oz|6|HEB|pantry|weekly|
La Costena Pickled Jalapeno Nacho Slices, 15.5 oz|3|HEB|pantry|weekly|
Libby's 100% Pure All-Natural Canned Pumpkin, 15 oz|6|HEB|pantry|weekly|
Fresh Bunch of Bananas, 4-7 Bananas, Avg. 2.4 lbs|6|HEB|produce|weekly|
Fresh Roma Tomato, Avg. 0.29 lb|5|HEB|produce|weekly|
H-E-B Fresh Granny Smith Apples, 3 lb bag|3|HEB|produce|weekly|
H-E-B Fresh Lemons, 2 lb bag|5|HEB|produce|weekly|
H-E-B Fresh Spinach, 9 oz|5|HEB|produce|weekly|
